Codigo,Especie,Tipo,Descricao
2103,Incêndios Urbanos ou em Área Urbanizável,Estacionamento de superfície,Incêndio em superfície ao ar livre dedicada ao estacionamento de veículos.
2104,Incêndios Urbanos ou em Área Urbanizável,Exercício em Estacionamento de superfície,Exercício no âmbito de um incêndio em superfície ao ar livre dedicada ao estacionamento de veículos.
2105,Incêndios Urbanos ou em Área Urbanizável,Estacionamento em profundidade ou silo,Incêndio em edifícios e partes de edifícios destinados ao estacionamento de veículos.
2106,Incêndios Urbanos ou em Área Urbanizável,Exercício em Estacionamento em profundidade ou silo,Exercício no âmbito de um incêndio em edifícios e partes de edifícios destinados ao estacionamento de veículos.
2107,Incêndios Urbanos ou em Área Urbanizável,Serviços Administrativos,"Incêndios em edifícios ou partes de edifícios onde se desenvolvem atividades administrativas, de atendimento ao público ou de serviços, nomeadamente escritórios, repartições públicas, tribunais, conservatórias, balcões de atendimento, notários, gabinetes de profissionais liberais, espaços de investigação não dedicados ao ensino, excluindo as oficinas de reparação e manutenção."
2108,Incêndios Urbanos ou em Área Urbanizável,Exercícios em Serviços Administrativos,"Exercício no âmbito de incêndios em edifícios ou partes de edifícios onde se desenvolvem atividades administrativas, de atendimento ao público ou de serviços, nomeadamente escritórios, repartições públicas, tribunais, conservatórias, balcões de atendimento, notários, gabinetes de profissionais liberais, espaços de investigação não dedicados ao ensino, excluindo as oficinas de reparação e manutenção."
2109,Incêndios Urbanos ou em Área Urbanizável,Parque Escolar,"Incêndios em edifícios ou partes de edifícios onde se ministrem ações de educação, ensino e formação, ou onde se exerçam atividades lúdicas conexas, como escolas de todos os níveis e áreas de formação, faculdades e politécnicos, creches e jardim-de-infância, centros de formação, centros de juventude e ocupação de tempos livres, entre outros."
2110,Incêndios Urbanos ou em Área Urbanizável,Exercício em Parque Escolar,"Exercício no âmbito de incêndios em edifícios ou partes de edifícios onde se ministrem ações de educação, ensino e formação, ou onde se exerçam atividades lúdicas conexas, como escolas de todos os níveis e áreas de formação, faculdades e politécnicos, creches e jardim-de-infância, centros de formação, centros de juventude e ocupação de tempos livres, entre outros."
2111,Incêndios Urbanos ou em Área Urbanizável,Hospitalares e Lares de Idosos,"Incêndios em edifícios ou partes de edifícios recebendo público, destinados à execução de ações de diagnóstico ou à prestação de cuidados na área da saúde, com ou sem internamento, ao apoio a pessoas idosas ou com condicionalismos decorrentes de fatores de natureza física ou psíquica, nomeadamente hospitais, clínicas, consultórios, policlínicas, dispensários médicos, centros de saúde, de diagnóstico, de enfermagem, de hemodiálise ou de fisioterapia, laboratórios de análises clínicas, bem como lares, albergues, residenciais, centros de abrigo e centros de dia com atividades destinadas à terceira idade."
2112,Incêndios Urbanos ou em Área Urbanizável,Exercícios Hospitalares e Lares de Idosos,"Exercício no âmbito de incêndios em edifícios ou partes de edifícios recebendo público, destinados à execução de ações de diagnóstico ou à prestação de cuidados na área da saúde, com ou sem internamento, ao apoio a pessoas idosas ou com condicionalismos decorrentes de fatores de natureza física ou psíquica, nomeadamente hospitais, clínicas, consultórios, policlínicas, dispensários médicos, centros de saúde, de diagnóstico, de enfermagem, de hemodiálise ou de fisioterapia, laboratórios de análises clínicas, bem como lares, albergues, residenciais, centros de abrigo e centros de dia com atividades destinadas à terceira idade."
2113,Incêndios Urbanos ou em Área Urbanizável,Espetáculos e Reuniões Públicas,"Incêndios em edifícios ou partes de edifícios, recintos itinerantes ou provisórios e ao ar livre que recebam público, destinados a espetáculos, reuniões públicas, exibição de meios audiovisuais, bailes, jogos, conferências, palestras, culto religioso e exposições, nomeadamente teatros, cineteatros, cinemas, coliseus, praças de touros, circos, salas de jogo, salões de dança, discotecas, bares com música ao vivo, estúdios de gravação, auditórios, salas de conferências, templos religiosos e pavilhões multiusos."
2114,Incêndios Urbanos ou em Área Urbanizável,Exercícios em Espetáculos e Reuniões Públicas,"Exercício no âmbito de incêndios em edifícios ou partes de edifícios, recintos itinerantes ou provisórios e ao ar livre que recebam público, destinados a espetáculos, reuniões públicas, exibição de meios audiovisuais, bailes, jogos, conferências, palestras, culto religioso e exposições, nomeadamente teatros, cineteatros, cinemas, coliseus, praças de touros, circos, salas de jogo, salões de dança, discotecas, bares com música ao vivo, estúdios de gravação, auditórios, salas de conferências, templos religiosos e pavilhões multiusos."
2115,Incêndios Urbanos ou em Área Urbanizável,Hotelaria e Restauração,"Incêndios em edifícios ou partes de edifícios recebendo público, fornecendo alojamento temporário ou exercendo atividades de restauração e bebidas, em regime de ocupação exclusiva ou não, nomeadamente os destinados a empreendimentos turísticos, alojamento local, estabelecimentos de restauração ou de bebidas, dormitórios e, quando não inseridos num estabelecimento escolar, residências de estudantes e colónias de férias."
2116,Incêndios Urbanos ou em Área Urbanizável,Exercícios em Hotelaria e Restauração,"Exercício no âmbito de incêndios em edifícios ou partes de edifícios recebendo público, fornecendo alojamento temporário ou exercendo atividades de restauração e bebidas, em regime de ocupação exclusiva ou não, nomeadamente os destinados a empreendimentos turísticos, alojamento local, estabelecimentos de restauração ou de bebidas, dormitórios e, quando não inseridos num estabelecimento escolar, residências de estudantes e colónias de férias."
2117,Incêndios Urbanos ou em Área Urbanizável,Áreas Comerciais e Gares de Transportes,"Incêndios em edifícios ou partes de edifícios recebendo público, ocupados por estabelecimentos comerciais onde se exponham e vendam materiais, produtos, equipamentos ou outros bens, destinados a ser consumidos no exterior desse estabelecimento, ou ocupados por gares destinados a aceder a meios de transporte rodoviário, ferroviário, marítimo, fluvial ou aéreo, incluindo as gares intermodais, com exceção das plataformas de embarque ao ar livre."
2118,Incêndios Urbanos ou em Área Urbanizável,Exercícios em Áreas Comerciais e Gares de Transportes,"Exercício no âmbito de incêndios em edifícios ou partes de edifícios recebendo público, ocupados por estabelecimentos comerciais onde se exponham e vendam materiais, produtos, equipamentos ou outros bens, destinados a ser consumidos no exterior desse estabelecimento, ou ocupados por gares destinados a aceder a meios de transporte rodoviário, ferroviário, marítimo, fluvial ou aéreo, incluindo as gares intermodais, com exceção das plataformas de embarque ao ar livre."
2119,Incêndios Urbanos ou em Área Urbanizável,Desporto e Lazer,"Incêndios em edifícios ou partes de edifícios e recintos recebendo ou não público, destinados a atividades desportivas e de lazer, nomeadamente estádios, picadeiros, hipódromos, velódromos, autódromos, motódromos, kartódromos, campos de jogos, parques de campismo e caravanismo, pavilhões desportivos, piscinas, parques aquáticos, pistas de patinagem, ginásios e saunas, entre outros."
2120,Incêndios Urbanos ou em Área Urbanizável,Exercício em Desporto e Lazer,"Exercício no âmbito de incêndios em edifícios ou partes de edifícios e recintos recebendo ou não público, destinados a atividades desportivas e de lazer, nomeadamente estádios, picadeiros, hipódromos, velódromos, autódromos, motódromos, kartódromos, campos de jogos, parques de campismo e caravanismo, pavilhões desportivos, piscinas, parques aquáticos, pistas de patinagem, ginásios e saunas, entre outros."
2121,Incêndios Urbanos ou em Área Urbanizável,Museus e Galerias de Arte,"Incêndios em edifícios ou partes de edifícios, recebendo ou não público, destinados à exibição de peças do património histórico e cultural ou a atividades de exibição, demonstração e divulgação de carácter científico, cultural ou técnico, nomeadamente museus, galerias de arte, oceanários, aquários, instalações de parques zoológicos ou botânicos, espaços de exposição destinados à divulgação científica e técnica."
2122,Incêndios Urbanos ou em Área Urbanizável,Exercícios em Museus e Galerias de Arte,"Exercício no âmbito de incêndios em edifícios ou partes de edifícios, recebendo ou não público, destinados à exibição de peças do património histórico e cultural ou a atividades de exibição, demonstração e divulgação de carácter científico, cultural ou técnico, nomeadamente museus, galerias de arte, oceanários, aquários, instalações de parques zoológicos ou botânicos, espaços de exposição destinados à divulgação científica e técnica."
2123,Incêndios Urbanos ou em Área Urbanizável,Bibliotecas e Arquivos,"Incêndios em edifícios ou partes de edifícios, recebendo ou não público, destinados a arquivo documental, podendo disponibilizar os documentos para consulta ou visualização no próprio local ou não, nomeadamente bibliotecas, hemerotecas, mediatecas e arquivos."
2124,Incêndios Urbanos ou em Área Urbanizável,Exercícios em Bibliotecas e Arquivos,"Exercício no âmbito de incêndios em edifícios ou partes de edifícios, recebendo ou não público, destinados a arquivo documental, podendo disponibilizar os documentos para consulta ou visualização no próprio local ou não, nomeadamente bibliotecas, hemerotecas, mediatecas e arquivos."
2125,Incêndios Urbanos ou em Área Urbanizável,Militar Forças de Segurança e Forças de Socorro,Incêndios em edifícios ou partes de edifícios e recintos de entidades oficiais militares das forças de segurança e das forças de prestação de socorro.
2126,Incêndios Urbanos ou em Área Urbanizável,Exercício Militar Forças de Segurança e Forças de Socorro,Exercício no âmbito de incêndios em edifícios ou partes de edifícios e recintos de entidades oficiais militares das forças de segurança e das forças de prestação de socorro.
2127,Incêndios Urbanos ou em Área Urbanizável,Indústria Oficina e Armazém,"Incêndios em edifícios ou partes de edifícios e recintos ao ar livre, não recebendo habitualmente público, destinados ao exercício de atividades industriais ou ao armazenamento de materiais, substâncias, produtos ou equipamentos, oficinas de reparação e todos os serviços auxiliares ou complementares destas atividades."
2128,Incêndios Urbanos ou em Área Urbanizável,Exercício em Indústria Oficina e Armazém,"Exercício no âmbito de incêndios em edifícios ou partes de edifícios e recintos ao ar livre, não recebendo habitualmente público, destinados ao exercício de atividades industriais ou ao armazenamento de materiais, substâncias, produtos ou equipamentos, oficinas de reparação e todos os serviços auxiliares ou complementares destas atividades."
2129,Incêndios Urbanos ou em Área Urbanizável,Edifícios degradados ou devolutos,"Incêndios em edifícios ou partes de edifícios, sem fruição devido ao seu estado de degradação."
2130,Incêndios Urbanos ou em Área Urbanizável,Exercício em Edifícios degradados ou devolutos,"Exercício no âmbito de incêndios em edifícios ou partes de edifícios, sem fruição devido ao seu estado de degradação."
2201,Incêndios em Equipamento e Produtos,Equipamentos,"Incêndios que afetam exclusivamente equipamentos, não alastrando para outras superfícies."
2202,Incêndios em Equipamento e Produtos,Exercício em Equipamentos,"Exercício no âmbito de incêndios em edifícios que afetam exclusivamente equipamentos, não alastrando para outras superfícies."
2203,Incêndios em Equipamento e Produtos,Produtos,"Incêndios em edifícios que afetam exclusivamente produtos, não gerando danos nas infraestruturas que os contêm."
2204,Incêndios em Equipamento e Produtos,Exercício em Produtos,"Exercício no âmbito de incêndios que afetam exclusivamente produtos, não gerando danos nas infraestruturas que os contêm."
2301,Incêndios em Transportes,Rodoviário,Incêndios em todo o tipo de meio rodoviário.
2302,Incêndios em Transportes,Exercício Rodoviário,Exercício no âmbito de incêndios em todo o tipo de meio rodoviário.
2303,Incêndios em Transportes,Aéreo,Incêndios em todo o tipo de meio aéreo.
2304,Incêndios em Transportes,Exercício Aéreo,Exercício no âmbito de incêndios em todo o tipo de meio aéreo.
2305,Incêndios em Transportes,Ferroviário,Incêndios em todo o tipo de meio ferroviário.
2306,Incêndios em Transportes,Exercício Ferroviário,Exercício no âmbito de incêndios em todo o tipo de meio ferroviário.
2307,Incêndios em Transportes,Aquático,Incêndios em todo o tipo de meio aquático.
2308,Incêndios em Transportes,Exercício Aquático,Exercício no âmbito de incêndios em todo o tipo de meio aquático.
2401,Acidentes,Atropelamento rodoviário,"Dano à integridade física, causado por qualquer tipo de veículo em movimento."
2402,Acidentes,Exercício de Atropelamento rodoviário,"Exercício no âmbito de dano à integridade física, causado por qualquer tipo de veículo em movimento."
2403,Acidentes,Colisão rodoviária,Colisão entre viaturas.
2404,Acidentes,Exercício de Colisão rodoviária,Exercício no âmbito de colisão entre viaturas.
2405,Acidentes,Acidentes com veículos fora de estrada,"Acidentes com danos, em veículos fora de estrada, como tratores e outros veículos agrícolas, florestais ou industriais."
2406,Acidentes,Exercício de Acidentes com veículos fora de estrada,"Exercício no âmbito de acidentes com danos, em veículos fora de estrada, como tratores e outros veículos agrícolas, florestais ou industriais."
2407,Acidentes,Despiste,"Acidente com danos pessoais ou materiais, no decurso de perda de controlo do veículo."
2408,Acidentes,Exercício de Despiste,"Exercício no âmbito de acidente com danos pessoais ou materiais, no decurso de perda de controlo do veículo."
2409,Acidentes,Acidente Aéreo,"Colisão entre aeronaves ou queda de aeronave, bem como qualquer tipo de avaria que implique mobilização de meios terrestres para apoio e socorro."
2410,Acidentes,Exercício de Acidente Aéreo,"Exercício no âmbito de colisão entre aeronaves ou queda de aeronave, bem como qualquer tipo de avaria que implique mobilização de meios terrestres para apoio e socorro."
2411,Acidentes,Atropelamento ferroviário,Dano à integridade física causado por qualquer tipo de veículo ferroviário.
2412,Acidentes,Exercício de Atropelamento ferroviário,Exercício no âmbito de dano à integridade física causado por qualquer tipo de veículo ferroviário.
2413,Acidentes,Abalroamento ferroviário,Colisão de veículos ferroviários com veículos rodoviários ou obstáculos.
2414,Acidentes,Exercício de Abalroamento ferroviário,Exercício no âmbito de colisão de veículos ferroviários com veículos rodoviários ou obstáculos.
2415,Acidentes,Choque entre veículos ou composições ferroviárias,Colisão entre duas ou mais composições ferroviárias ou veículos ferroviários.
2416,Acidentes,Exercício de Choque entre veículos ou composições ferroviárias,Exercício no âmbito de colisão entre duas ou mais composições ferroviárias ou veículos ferroviários.
2417,Acidentes,Descarrilamento ferroviário,Saída de veículos ferroviários da circulação em carris.
2418,Acidentes,Exercício de Descarrilamento ferroviário,Exercício no âmbito de saída de veículos ferroviários da circulação em carris.
2419,Acidentes,Afundamento ou adornamento,"Submersão total ou parcial de embarcações, navios, ou veículos aquáticos."
2420,Acidentes,Exercício de Afundamento ou adornamento,"Exercício no âmbito de uma submersão total ou parcial de embarcações, navios, ou veículos aquáticos."
2421,Acidentes,Encalhe,"Acidentes com embarcações, navios, ou veículos aquáticos, resultando em encalhe."
2422,Acidentes,Exercício de Encalhe,"Exercícios no âmbito de acidentes com embarcações, navios, ou veículos aquáticos, resultando em encalhe."
2423,Acidentes,Colisão aquática,"Embate de embarcações, navios ou veículos aquáticos com outras estruturas artificiais ou formações naturais."
2424,Acidentes,Exercício de Colisão aquática,"Exercícios no âmbito de embate de embarcações, navios ou veículos aquáticos com outras estruturas artificiais ou formações naturais."
2425,Acidentes,Abalroamento aquático,"Colisão entre embarcações, navios, ou veículos aquático."
2426,Acidentes,Exercício de Abalroamento aquático,"Exercícios no âmbito de uma colisão entre embarcações, navios, ou veículos aquático."
2427,Acidentes,Transporte suspenso,"Acidente com equipamentos suspensos de transporte de pessoas ou carga, ou necessidade de assistência a pessoas, podendo resultar danos pessoais ou materiais."
2428,Acidentes,Exercício em Transporte suspenso,"Exercícios no âmbito de um acidente com equipamentos suspensos de transporte de pessoas ou carga, ou necessidade de assistência a pessoas, podendo resultar danos pessoais ou materiais."
2501,Acidentes industriais e tecnológicos,Radiológicos dentro de uma instalação,"Qualquer acidente com materiais radioativos, quando em armazenamento ou exploração, dando origem a emergências radiológicas ou nucleares."
2502,Acidentes industriais e tecnológicos,Exercício em Radiológicos dentro de uma instalação,"Exercício no âmbito de qualquer acidente com materiais radioativos, quando em armazenamento ou exploração, dando origem a emergências radiológicas ou nucleares."
2503,Acidentes industriais e tecnológicos,Químicos dentro de uma instalação,"Qualquer acidente com materiais deste tipo, quando em armazenamento ou exploração."
2504,Acidentes industriais e tecnológicos,Exercício em Químicos dentro de uma instalação,"Exercício no âmbito de qualquer acidente com materiais deste tipo, quando em armazenamento ou exploração."
2505,Acidentes industriais e tecnológicos,Biológicos dentro de uma instalação,"Qualquer acidente com materiais deste tipo, quando em armazenamento ou exploração."
2506,Acidentes industriais e tecnológicos,Exercício em Biológicos dentro de uma instalação,"Exercício no âmbito de qualquer acidente com materiais deste tipo, quando em armazenamento ou exploração."
2507,Acidentes industriais e tecnológicos,Radiológicos em trânsito,"Qualquer acidente com materiais radioativos, quando em transporte entre dois pontos distantes, por qualquer via onde não exista contenção por edificado, dando origem a emergências radiológicas ou nucleares."
2508,Acidentes industriais e tecnológicos,Exercício em Radiológicos em trânsito,"Exercício no âmbito de qualquer acidente com materiais radioativos, quando em transporte entre dois pontos distantes, por qualquer via onde não exista contenção por edificado, dando origem a emergências radiológicas ou nucleares."
2509,Acidentes industriais e tecnológicos,Químicos em trânsito,"Qualquer acidente com materiais deste tipo, quando em transporte entre dois pontos distantes, por qualquer via onde não exista contenção por edificado."
2510,Acidentes industriais e tecnológicos,Exercício em Químicos em trânsito,"Exercício no âmbito de qualquer acidente com materiais deste tipo, quando em transporte entre dois pontos distantes, por qualquer via onde não exista contenção por edificado."
2511,Acidentes industriais e tecnológicos,Biológicos em trânsito,"Qualquer acidente com materiais deste tipo, quando em transporte entre dois pontos distantes, por qualquer via onde não exista contenção por edificado."
2512,Acidentes industriais e tecnológicos,Exercício em Biológicos em trânsito,"Exercício no âmbito de qualquer acidente com materiais deste tipo, quando em transporte entre dois pontos distantes, por qualquer via onde não exista contenção por edificado."
2513,Acidentes industriais e tecnológicos,Fuga de Gás em conduta,Deterioração ou falha técnica de conduta que dá origem a fuga de gás.
2514,Acidentes industriais e tecnológicos,Exercício de Fuga de Gás em conduta,"Exercício no âmbito de uma fuga de gás, causada pela deterioração ou falha técnica de conduta."
2515,Acidentes industriais e tecnológicos,Fuga de Gás em garrafa,"Fuga de gás com origem em garrafa, por deterioração, falha técnica, ou outra causa."
2516,Acidentes industriais e tecnológicos,Exercício de Fuga de Gás em garrafa,"Exercício no âmbito de uma fuga de gás com origem em garrafa, por deterioração, falha técnica, ou outra causa."
2517,Acidentes industriais e tecnológicos,Fuga de Gás em reservatório,"Fuga de gás com origem em reservatório, por deterioração, falha técnica, ou outra causa."
2518,Acidentes industriais e tecnológicos,Exercício de Fuga de Gás em reservatório,"Exercício no âmbito de uma fuga de gás com origem em reservatório, por deterioração, falha técnica, ou outra causa."
2519,Acidentes industriais e tecnológicos,Queda de Satélite,Queda de satélite artificial em território nacional.
2520,Acidentes industriais e tecnológicos,Exercício de Queda de Satélite,Exercício no âmbito de uma queda de satélite artificial em território nacional.
3101,Incêndios Rurais,Povoamento Florestal,"Incêndio que afeta um espaço florestal, arborizado."
3102,Incêndios Rurais,Exercício em Povoamento Florestal,"Exercício no âmbito de um incêndio que afeta um espaço florestal, arborizado."
3103,Incêndios Rurais,Mato,"Incêndio que afeta um espaço florestal, não arborizado."
3104,Incêndios Rurais,Exercício em Mato,"Exercício no âmbito de um incêndio que afeta um espaço florestal, não arborizado."
3105,Incêndios Rurais,Agrícola,Incêndio que afeta uma área destinada à exploração agrícola.
3106,Incêndios Rurais,Exercício em Agrícola,Exercício no âmbito de um incêndio que afeta uma área destinada à exploração agrícola.
3107,Incêndios Rurais,Consolidação de Rescaldo,"Empenhamento residual de meios em incêndios já extintos para consolidação do rescaldo em pontos quentes dentro do perímetro ardido, sem possibilidade de reacendimento que afete áreas adjacentes ao perímetro original."
3108,Incêndios Rurais,Exercício de Consolidação de Rescaldo,"Exercício no âmbito do empenhamento residual de meios em incêndios já extintos para consolidação do rescaldo em pontos quentes dentro do perímetro ardido, sem possibilidade de reacendimento que afete áreas adjacentes ao perímetro original."
3109,Incêndios Rurais,Gestão de Combustível,"Ação que visa queimar combustíveis, de forma controlada e em condições de segurança, para prevenção de incêndios rurais e/ou renovação de pastagens ou terrenos agricultados."
3110,Incêndios Rurais,Exercício de Gestão de Combustível,"Exercício no âmbito de uma ação que visa queimar combustíveis, de forma controlada e em condições de segurança, para prevenção de incêndios rurais e/ou renovação de pastagens ou terrenos agricultados."
3111,Incêndios Rurais,Queima,"Empenho de meios para extinguir incêndios resultantes do uso do fogo para eliminar sobrantes de exploração, cortados e amontoados."
3112,Incêndios Rurais,Exercício de Queima,"Exercício no âmbito do empenho de meios para extinguir incêndios resultantes do uso do fogo para eliminar sobrantes de exploração, cortados e amontoados."
3201,Incêndios em Detritos,Detritos não confinados,"Incêndios em lixos aglomerados ou dispersos, de carácter urbano ou industrial, como lixeiras e detritos abandonados."
3202,Incêndios em Detritos,Exercício em Detritos não confinados,"Exercício no âmbito de incêndios em lixos aglomerados ou dispersos, de carácter urbano ou industrial, como lixeiras e detritos abandonados."
3203,Incêndios em Detritos,Detritos confinados,Incêndios em contentores de lixo/resíduos urbanos ou industriais.
3204,Incêndios em Detritos,Exercício em Detritos confinados,Exercício no âmbito de incêndios em contentores de lixo/resíduos urbanos ou industriais.
3301,Comprometimento total ou parcial de segurança serviços ou estruturas,Queda de Árvore,Queda de espécie de porte arbóreo por agente externo à espécie ou por degradação da mesma.
3302,Comprometimento total ou parcial de segurança serviços ou estruturas,Exercício de Queda de Árvore,Exercício no âmbito de queda de espécie de porte arbóreo por agente externo à espécie ou por degradação da mesma.
3303,Comprometimento total ou parcial de segurança serviços ou estruturas,Corte de abastecimento de água,Corte de abastecimento de água à população durante um período superior a 24 horas.
3304,Comprometimento total ou parcial de segurança serviços ou estruturas,Exercício de Corte de abastecimento de água,Exercício no âmbito de um corte de abastecimento de água à população durante um período superior a 24 horas.
3305,Comprometimento total ou parcial de segurança serviços ou estruturas,Corte de abastecimento elétrico,Corte de abastecimento de eletricidade à população durante um período superior a 24 horas.
3306,Comprometimento total ou parcial de segurança serviços ou estruturas,Exercício de Corte de abastecimento elétrico,Exercício no âmbito de um corte de abastecimento de eletricidade à população durante um período superior a 24 horas.
3307,Comprometimento total ou parcial de segurança serviços ou estruturas,Corte de abastecimento de gás,Corte de abastecimento de gás à população durante um período superior a 24 horas.
3308,Comprometimento total ou parcial de segurança serviços ou estruturas,Exercício de Corte de abastecimento de gás,Exercício no âmbito de um corte de abastecimento de gás à população durante um período superior a 24 horas.
3309,Comprometimento total ou parcial de segurança serviços ou estruturas,Desabamento de estruturas edificadas,"Colapso de edificado ou estrutura artificial que provoca danos a si mesma, e/ou a estruturas adjacentes."
3310,Comprometimento total ou parcial de segurança serviços ou estruturas,Exercício de Desabamento de estruturas edificadas,"Exercício no âmbito de um colapso de edificado ou estrutura artificial que provoca danos a si mesma, e/ou a estruturas adjacentes."
3311,Comprometimento total ou parcial de segurança serviços ou estruturas,Queda de elementos de construção em estruturas edificadas,"Queda ou desprendimento, parcial ou total, de elementos de construção ou decoração em edifícios, que indiciem mau estado de conservação e/ou falta de segurança dos mesmos."
3312,Comprometimento total ou parcial de segurança serviços ou estruturas,Exercício de Queda de elementos de construção em estruturas edificadas,"Exercício no âmbito de uma queda ou desprendimento, parcial ou total, de elementos de construção ou decoração em edifícios, que indiciem mau estado de conservação e/ou falta de segurança dos mesmos."
3313,Comprometimento total ou parcial de segurança serviços ou estruturas,Movimento de massa,Deslizamentos de terras e outros movimentos similares com provável arrasto de materiais sólidos.
3314,Comprometimento total ou parcial de segurança serviços ou estruturas,Exercício de Movimento de massa,Exercício no âmbito de deslizamentos de terras e outros movimentos similares com provável arrasto de materiais sólidos.
3315,Comprometimento total ou parcial de segurança serviços ou estruturas,Inundação de estruturas ou superfícies por precipitação intensa,"Preenchimento de espaços edificados ou superfícies (incluindo rodovias) por água, combinando precipitações intensas com ausência ou dificuldades de escoamento."
3316,Comprometimento total ou parcial de segurança serviços ou estruturas,Exercício de Inundação de estruturas ou superfícies por precipitação intensa,"Exercício no âmbito do preenchimento de espaços edificados ou superfícies (incluindo rodovias) por água, combinando precipitações intensas com ausência ou dificuldades de escoamento."
3317,Comprometimento total ou parcial de segurança serviços ou estruturas,Inundação de estruturas por água canalizada,"Preenchimento de espaços edificados ou superfícies (incluindo rodovias) por água, em resultado de ruturas de redes de abastecimento."
3318,Comprometimento total ou parcial de segurança serviços ou estruturas,Exercício de Inundação de estruturas por água canalizada,"Exercício no âmbito do preenchimento de espaços edificados ou superfícies (incluindo rodovias) por água, em resultado de ruturas de redes de abastecimento."
